model,tercile,n,rmse,mae
RF,Low,236,0.002964853487251143,0.002225114771773655
RF,Mid,235,0.0032003891277502814,0.0024273087524589415
RF,High,236,0.0038575720128941325,0.0029325481146255145
GBDT,Low,236,0.0029780848870802523,0.0022406276547861127
GBDT,Mid,235,0.0032167285764931027,0.002417777713413228
GBDT,High,236,0.004002216269810388,0.0030520724921789554
XGB,Low,236,0.0029493180400643167,0.0022181130615171866
XGB,Mid,235,0.0032419701513492975,0.00247276769010573
XGB,High,236,0.003957646454487967,0.0029760964324595865
LGBM,Low,236,0.0029455639989592005,0.002228324316758167
LGBM,Mid,235,0.003361374087423104,0.0025385875790124098
LGBM,High,236,0.004270959688496669,0.003259609128917857
STACK,Low,236,0.0029807912097307523,0.0022312423886356224
STACK,Mid,235,0.0031778258737513725,0.002418624240413252
STACK,High,236,0.003761717575509628,0.0028691934074571855
BLEND,Low,236,0.002966125317676768,0.00222701627465113
BLEND,Mid,235,0.0032007628998701873,0.002421071480199416
BLEND,High,236,0.0038754311392237032,0.002948319568122531
